Product Title,Final Price,Reduction?,Price Without Reduction,URL Product,URL Image,Stock Status
Le Brun de Neuville Le Chemin Empreinte Blanc de Blancs Extra Brut NV-BP_438834,490,no,,https://www.watsonswine.com/en/wine/le-brun-de-neuville-le-chemin-empreinte-blanc-de-blancs-extra-brut-nv/p/BP_438834,https://www.watsonswine.com/medias/sys_master/front/prd/9025187577886.png,In Stock
Fleur de Miraval Exclusivement Rose NV-BP_420919,3580,no,,https://www.watsonswine.com/en/wine/fleur-de-miraval-exclusivement-rose-nv/p/BP_420919,https://www.watsonswine.com/medias/sys_master/front/prd/8994601861150.png,In Stock
Louis Roederer Cristal Brut 2013-BP_420086,2500,no,,https://www.watsonswine.com/en/wine/louis-roederer-cristal-brut-2013/p/BP_420086,https://www.watsonswine.com/medias/sys_master/front/prd/8994804498462.png,Out of Stock
Beaumont des Crayeres Grand Meunier NV-BP_420929,350,no,,https://www.watsonswine.com/en/wine/beaumont-des-crayeres-grand-meunier-nv/p/BP_420929,https://www.watsonswine.com/medias/sys_master/front/prd/8996413931550.png,In Stock
Beaumont Des Crayeres Fleur Noire 2012-BP_363883,450,no,,https://www.watsonswine.com/en/wine/beaumont-des-crayeres-fleur-noire-2012/p/BP_363883,https://www.watsonswine.com/medias/sys_master/front/prd/9002199679006.png,In Stock
Coessens Largillier Millesime Extra-Brut 2015-BP_363991,860,no,,https://www.watsonswine.com/en/wine/coessens-largillier-millesime-extra-brut-2015/p/BP_363991,https://www.watsonswine.com/medias/sys_master/front/prd/9002190176286.png,In Stock
Le Brun de Neuville Au Bout de Chemin Extra Brut NV-BP_420380,450,yes,595,https://www.watsonswine.com/en/wine/le-brun-de-neuville-au-bout-de-chemin-extra-brut-nv/p/BP_420380,https://www.watsonswine.com/_ui/desktop/theme-wine/img/revamped-cat-emptyImg.png,In Stock
Le Brun de Neuville La Croisee Des Chemins Extra Brut Nv-BP_421033,560,no,,https://www.watsonswine.com/en/wine/le-brun-de-neuville-la-croisee-des-chemins-extra-brut-nv/p/BP_421033,https://www.watsonswine.com/_ui/desktop/theme-wine/img/revamped-cat-emptyImg.png,In Stock
Beau Crayeres Fleur Blanche 2013-BP_459908,320,yes,380,https://www.watsonswine.com/en/wine/beau-crayeres-fleur-blanche-2013/p/BP_459908,https://www.watsonswine.com/medias/sys_master/front/prd/9016812797982.png,In Stock
Moet & Chandon Grand Vintage 2013-BP_461160,590,yes,650,https://www.watsonswine.com/en/wine/moet-chandon-grand-vintage-2013/p/BP_461160,https://www.watsonswine.com/medias/sys_master/front/prd/9025386577950.png,In Stock
Gosset 12 Ans De Cave A Minima Brut-BP_420492,988,no,,https://www.watsonswine.com/en/wine/gosset-12-ans-de-cave-a-minima-brut/p/BP_420492,https://www.watsonswine.com/_ui/desktop/theme-wine/img/revamped-cat-emptyImg.png,In Stock
Ruinart Vintage Rose 2007-BP_439265,2600,no,,https://www.watsonswine.com/en/wine/ruinart-vintage-rose-2007/p/BP_439265,https://www.watsonswine.com/_ui/desktop/theme-wine/img/revamped-cat-emptyImg.png,In Stock
Louis Roderer Collection 242 (No GB)-BP_470238,538,no,,https://www.watsonswine.com/en/wine/louis-roderer-collection-242-no-gb-/p/BP_470238,https://www.watsonswine.com/_ui/desktop/theme-wine/img/revamped-cat-emptyImg.png,In Stock
Billecart BRUT ROSE NV (FESTIVE GB)-BP_470631,580,yes,690,https://www.watsonswine.com/en/wine/billecart-brut-rose-nv-festive-gb-/p/BP_470631,https://www.watsonswine.com/medias/sys_master/front/prd/9029435949086.png,In Stock
Deutz Brut Classic NV - 6 Bottle Pack-BP_102878,2690,yes,3540,https://www.watsonswine.com/en/wine/deutz-brut-classic-nv-6-bottle-pack/p/BP_102878,https://www.watsonswine.com/medias/sys_master/front/prd/9030230802462.png,In Stock
Henriot Brut Souverain NV - 6 Bottle Pack-BP_104531,2280,yes,2700,https://www.watsonswine.com/en/wine/henriot-brut-souverain-nv-6-bottle-pack/p/BP_104531,https://www.watsonswine.com/medias/sys_master/front/prd/9030229032990.png,In Stock
Riedel Vinum Vintage Champagne (416/48)-BP_123562,260,no,,https://www.watsonswine.com/en/wine/riedel-vinum-vintage-champagne-416-48-/p/BP_123562,https://www.watsonswine.com/medias/sys_master/front/prd/9018328055838.png,In Stock
Martell Vignoble C. Mongillon Grande Champagne 1989-BP_480653,8800,no,,https://www.watsonswine.com/en/wine/martell-vignoble-c-mongillon-grande-champagne-1989/p/BP_480653,https://www.watsonswine.com/medias/sys_master/front/prd/8860007104542.jpg,In Stock
Dom Perignn Vintage 2012 (Gift Box)-BP_469241,1590,yes,1780,https://www.watsonswine.com/en/wine/dom-perignn-vintage-2012-gift-box-/p/BP_469241,https://www.watsonswine.com/medias/sys_master/front/prd/9023984926750.png,In Stock
